,gene,rowsums,rank,norm_rank
261,SPARC,101.0,888.0,0.7985611510791367
262,TGFB3,103.0,894.0,0.8039568345323741
263,TNFAIP6,56.0,689.5,0.6200539568345323
264,LYVE1,58.0,697.5,0.627248201438849
265,TLR2,216.0,1071.5,0.9635791366906474
266,MAPK3,242.0,1083.5,0.9743705035971223
267,NID1,58.0,697.5,0.627248201438849
268,FGF10,163.0,1025.0,0.9217625899280576
269,TNC,29.0,439.0,0.3947841726618705
270,SEMA3A,58.0,697.5,0.627248201438849
271,FGF7,173.0,1032.0,0.9280575539568345
272,HAPLN1,9.0,139.0,0.125
273,FGF18,159.0,1018.0,0.9154676258992805
274,BMP6,53.0,670.0,0.6025179856115108
275,LY96,60.0,714.0,0.6420863309352518
276,ADAMTS5,34.0,488.5,0.4392985611510791
277,MMP16,18.0,297.5,0.2675359712230216
278,ADAMTS15,5.0,58.0,0.052158273381294966
279,CCL11,128.0,973.0,0.875
280,BMP1,48.0,630.5,0.5669964028776978
281,ALCAM,45.0,603.0,0.5422661870503597
282,CHST2,4.0,41.0,0.0368705035971223
283,FGF5,157.0,1016.5,0.9141187050359713
284,FGF8,160.0,1019.5,0.91681654676259
285,BGN,97.0,873.0,0.7850719424460432
286,CHST6,4.0,41.0,0.0368705035971223
287,BCAN,28.0,426.5,0.3835431654676259
288,THBS4,26.0,401.0,0.3606115107913669
289,FGFR3,79.0,813.5,0.7315647482014388
290,ANXA2,96.0,866.0,0.7787769784172662
291,CCL20,134.0,983.0,0.8839928057553957
292,FGF17,161.0,1021.0,0.9181654676258992
293,PTGS2,209.0,1063.0,0.9559352517985612
294,CCN2,138.0,989.0,0.8893884892086331
295,ADAMTS4,40.0,548.0,0.49280575539568344
296,CTSS,127.0,969.5,0.8718525179856115
297,ENG,133.0,979.0,0.8803956834532374
298,TLR4,292.0,1095.0,0.9847122302158273
299,GDF5,44.0,586.0,0.5269784172661871
300,ALPL,36.0,514.5,0.4626798561151079
301,OMD,18.0,297.5,0.2675359712230216
302,POSTN,107.0,906.0,0.814748201438849
303,FGF9,160.0,1019.5,0.91681654676259
304,AREG,110.0,914.0,0.8219424460431655
305,BMP7,85.0,838.5,0.7540467625899281
306,TNFSF11,152.0,1008.5,0.9069244604316546
307,MATN3,9.0,139.0,0.125
308,ADIPOQ,138.0,989.0,0.8893884892086331
309,MIA,3.0,25.0,0.022482014388489208
310,FGF16,156.0,1014.5,0.9123201438848921
311,PECAM1,234.0,1079.0,0.9703237410071942
312,CCL3,197.0,1051.5,0.9455935251798561
313,PTHLH,63.0,740.5,0.6659172661870504
314,ACE2,99.0,880.5,0.79181654676259
315,ICAM3,50.0,647.5,0.5822841726618705
316,IL5,195.0,1050.0,0.9442446043165468
317,TFPI,58.0,697.5,0.627248201438849
318,CMA1,48.0,630.5,0.5669964028776978
319,HBA2,16.0,262.5,0.2360611510791367
320,CTSV,24.0,375.0,0.33723021582733814
321,SELP,131.0,976.0,0.8776978417266187
322,ICAM1,287.0,1092.0,0.9820143884892086
323,NRP1,108.0,908.0,0.8165467625899281
324,REN,96.0,866.0,0.7787769784172662
325,IL13,230.0,1077.0,0.9685251798561151
326,CD209,81.0,822.0,0.7392086330935251
327,CLEC4M,21.0,342.5,0.30800359712230213
