names,scores,logfoldchanges,pvals,pvals_adj
ENSG00000253374,-0.034611326,-18.230957,0.9723896689428386,0.9949371357390937
ENSG00000180660,-0.034611326,-16.930967,0.9723896689428386,0.9949371357390937
ENSG00000261402,-0.034611326,-21.094706,0.9723896689428386,0.9949371357390937
ENSG00000165566,-0.034611326,-18.2829,0.9723896689428386,0.9949371357390937
ENSG00000238169,-0.034611326,-19.834908,0.9723896689428386,0.9949371357390937
ENSG00000285971,-0.034611326,-19.17559,0.9723896689428386,0.9949371357390937
ENSG00000211649,-0.034611326,-20.236431,0.9723896689428386,0.9949371357390937
ENSG00000185686,-0.034611326,-18.205156,0.9723896689428386,0.9949371357390937
ENSG00000259823,-0.034611326,-18.975574,0.9723896689428386,0.9949371357390937
ENSG00000260005,-0.034611326,-17.773827,0.9723896689428386,0.9949371357390937
ENSG00000245711,-0.034611326,-18.614809,0.9723896689428386,0.9949371357390937
ENSG00000232986,-0.034611326,-18.531033,0.9723896689428386,0.9949371357390937
ENSG00000232978,-0.034611326,-18.193321,0.9723896689428386,0.9949371357390937
ENSG00000225706,-0.034611326,-18.54641,0.9723896689428386,0.9949371357390937
ENSG00000250692,-0.034611326,-18.092737,0.9723896689428386,0.9949371357390937
ENSG00000249647,-0.034611326,-17.831755,0.9723896689428386,0.9949371357390937
ENSG00000275569,-0.034611326,-18.637873,0.9723896689428386,0.9949371357390937
ENSG00000230695,-0.034611326,-19.90713,0.9723896689428386,0.9949371357390937
ENSG00000223586,-0.034611326,-18.070185,0.9723896689428386,0.9949371357390937
ENSG00000224511,-0.034611326,-17.959328,0.9723896689428386,0.9949371357390937
ENSG00000145824,-0.034611326,-17.85338,0.9723896689428386,0.9949371357390937
ENSG00000254545,-0.034611326,-18.336472,0.9723896689428386,0.9949371357390937
ENSG00000061492,-0.034611326,-19.69764,0.9723896689428386,0.9949371357390937
ENSG00000249131,-0.034611326,-18.631567,0.9723896689428386,0.9949371357390937
ENSG00000135175,-0.034611326,-18.358707,0.9723896689428386,0.9949371357390937
ENSG00000264985,-0.034611326,-17.834656,0.9723896689428386,0.9949371357390937
ENSG00000243613,-0.034611326,-19.021255,0.9723896689428386,0.9949371357390937
ENSG00000233729,-0.034611326,-17.604853,0.9723896689428386,0.9949371357390937
ENSG00000236761,-0.034611326,-17.483027,0.9723896689428386,0.9949371357390937
ENSG00000271904,-0.034611326,-18.651386,0.9723896689428386,0.9949371357390937
ENSG00000233183,-0.034611326,-17.71251,0.9723896689428386,0.9949371357390937
ENSG00000263655,-0.034611326,-18.710585,0.9723896689428386,0.9949371357390937
ENSG00000250986,-0.034611326,-17.551275,0.9723896689428386,0.9949371357390937
ENSG00000163982,-0.034611326,-18.703112,0.9723896689428386,0.9949371357390937
ENSG00000164647,-0.034611326,-18.516481,0.9723896689428386,0.9949371357390937
ENSG00000225498,-0.034611326,-17.51374,0.9723896689428386,0.9949371357390937
ENSG00000260058,-0.034611326,-17.220226,0.9723896689428386,0.9949371357390937
ENSG00000237221,-0.034611326,-17.732832,0.9723896689428386,0.9949371357390937
ENSG00000169214,-0.034611326,-17.49843,0.9723896689428386,0.9949371357390937
ENSG00000169314,-0.034611326,-17.77955,0.9723896689428386,0.9949371357390937
ENSG00000157005,-0.034611326,-18.155653,0.9723896689428386,0.9949371357390937
ENSG00000273375,-0.034611326,-17.060774,0.9723896689428386,0.9949371357390937
ENSG00000255475,-0.034611326,-17.808601,0.9723896689428386,0.9949371357390937
ENSG00000235718,-0.034611326,-17.51961,0.9723896689428386,0.9949371357390937
ENSG00000287830,-0.034611326,-18.2815,0.9723896689428386,0.9949371357390937
ENSG00000286474,-0.034611326,-18.13857,0.9723896689428386,0.9949371357390937
ENSG00000081138,-0.034611326,-19.268156,0.9723896689428386,0.9949371357390937
ENSG00000267766,-0.034611326,-17.637398,0.9723896689428386,0.9949371357390937
ENSG00000261357,-0.034611326,-20.510637,0.9723896689428386,0.9949371357390937
ENSG00000254911,-0.034611326,-19.197771,0.9723896689428386,0.9949371357390937
ENSG00000265125,-0.034611326,-18.195486,0.9723896689428386,0.9949371357390937
ENSG00000287332,-0.034611326,-17.40773,0.9723896689428386,0.9949371357390937
ENSG00000255599,-0.034611326,-19.066486,0.9723896689428386,0.9949371357390937
ENSG00000152086,-0.034611326,-17.618004,0.9723896689428386,0.9949371357390937
ENSG00000282418,-0.034611326,-18.99585,0.9723896689428386,0.9949371357390937
ENSG00000279927,-0.034611326,-17.795118,0.9723896689428386,0.9949371357390937
ENSG00000188015,-0.034611326,-18.553082,0.9723896689428386,0.9949371357390937
ENSG00000212663,-0.034611326,-17.780014,0.9723896689428386,0.9949371357390937
ENSG00000262267,-0.034611326,-17.60677,0.9723896689428386,0.9949371357390937
ENSG00000256603,-0.034611326,-17.41439,0.9723896689428386,0.9949371357390937
ENSG00000133105,-0.034611326,-18.861912,0.9723896689428386,0.9949371357390937
ENSG00000259351,-0.034611326,-18.057709,0.9723896689428386,0.9949371357390937
ENSG00000231509,-0.034611326,-17.650854,0.9723896689428386,0.9949371357390937
ENSG00000236389,-0.034611326,-19.42124,0.9723896689428386,0.9949371357390937
ENSG00000286438,-0.034611326,-17.439535,0.9723896689428386,0.9949371357390937
ENSG00000233073,-0.034611326,-18.408335,0.9723896689428386,0.9949371357390937
ENSG00000281120,-0.034611326,-18.644083,0.9723896689428386,0.9949371357390937
ENSG00000283267,-0.034611326,-18.955635,0.9723896689428386,0.9949371357390937
ENSG00000226433,-0.034611326,-17.814035,0.9723896689428386,0.9949371357390937
ENSG00000285931,-0.034611326,-18.069418,0.9723896689428386,0.9949371357390937
ENSG00000160868,-0.034611326,-17.905155,0.9723896689428386,0.9949371357390937
ENSG00000115850,-0.034611326,0.49710777,0.9723896689428386,0.9949371357390937
ENSG00000265643,-0.034611326,-18.490177,0.9723896689428386,0.9949371357390937
ENSG00000136546,-0.034611326,-18.019508,0.9723896689428386,0.9949371357390937
ENSG00000236885,-0.034611326,-18.819044,0.9723896689428386,0.9949371357390937
ENSG00000262983,-0.034611326,-18.73494,0.9723896689428386,0.9949371357390937
ENSG00000286665,-0.034611326,-19.058054,0.9723896689428386,0.9949371357390937
ENSG00000254372,-0.034611326,-19.776335,0.9723896689428386,0.9949371357390937
ENSG00000167656,-0.034611326,-21.2034,0.9723896689428386,0.9949371357390937
ENSG00000229415,-0.034611326,-17.40531,0.9723896689428386,0.9949371357390937
ENSG00000276092,-0.034611326,-17.525057,0.9723896689428386,0.9949371357390937
ENSG00000185385,-0.034611326,-18.365463,0.9723896689428386,0.9949371357390937
ENSG00000248363,-0.034611326,-18.081099,0.9723896689428386,0.9949371357390937
ENSG00000231666,-0.034611326,-18.280415,0.9723896689428386,0.9949371357390937
ENSG00000285885,-0.034611326,-17.852036,0.9723896689428386,0.9949371357390937
ENSG00000250038,-0.034611326,-20.29294,0.9723896689428386,0.9949371357390937
ENSG00000269353,-0.034611326,-18.120235,0.9723896689428386,0.9949371357390937
ENSG00000134817,-0.034611326,-20.58252,0.9723896689428386,0.9949371357390937
ENSG00000236306,-0.034611326,-19.400627,0.9723896689428386,0.9949371357390937
ENSG00000255393,-0.034611326,-19.448431,0.9723896689428386,0.9949371357390937
ENSG00000256813,-0.034611326,-19.67804,0.9723896689428386,0.9949371357390937
ENSG00000196600,-0.034611326,-19.171999,0.9723896689428386,0.9949371357390937
ENSG00000149742,-0.034611326,-17.951035,0.9723896689428386,0.9949371357390937
ENSG00000124449,-0.034611326,-17.977446,0.9723896689428386,0.9949371357390937
ENSG00000250371,-0.034611326,-19.442741,0.9723896689428386,0.9949371357390937
ENSG00000262664,-0.034611326,-18.428425,0.9723896689428386,0.9949371357390937
ENSG00000253735,-0.034611326,-17.404982,0.9723896689428386,0.9949371357390937
ENSG00000163286,-0.034611326,-17.687073,0.9723896689428386,0.9949371357390937
ENSG00000271991,-0.034611326,-19.69398,0.9723896689428386,0.9949371357390937
ENSG00000224318,-0.034611326,-19.020159,0.9723896689428386,0.9949371357390937
ENSG00000205293,-0.034611326,-17.004782,0.9723896689428386,0.9949371357390937
ENSG00000170786,-0.034611326,-18.646904,0.9723896689428386,0.9949371357390937
ENSG00000285809,-0.034611326,-18.588682,0.9723896689428386,0.9949371357390937
ENSG00000169218,-0.034611326,-18.587196,0.9723896689428386,0.9949371357390937
ENSG00000250230,-0.034611326,-17.677462,0.9723896689428386,0.9949371357390937
ENSG00000100987,-0.034611326,-18.922934,0.9723896689428386,0.9949371357390937
ENSG00000250124,-0.034611326,-19.21522,0.9723896689428386,0.9949371357390937
ENSG00000284696,-0.034611326,-18.459797,0.9723896689428386,0.9949371357390937
ENSG00000169856,-0.034611326,-18.622297,0.9723896689428386,0.9949371357390937
ENSG00000228444,-0.034611326,-17.990038,0.9723896689428386,0.9949371357390937
ENSG00000261517,-0.034611326,-18.609888,0.9723896689428386,0.9949371357390937
ENSG00000277047,-0.034611326,-19.191227,0.9723896689428386,0.9949371357390937
ENSG00000233775,-0.034611326,-18.241741,0.9723896689428386,0.9949371357390937
ENSG00000275358,-0.034611326,-17.908642,0.9723896689428386,0.9949371357390937
ENSG00000227078,-0.034611326,-19.071476,0.9723896689428386,0.9949371357390937
ENSG00000123576,-0.034611326,-18.798069,0.9723896689428386,0.9949371357390937
ENSG00000229372,-0.034611326,-18.849792,0.9723896689428386,0.9949371357390937
ENSG00000280384,-0.034611326,-19.916283,0.9723896689428386,0.9949371357390937
ENSG00000132702,-0.034611326,-17.881678,0.9723896689428386,0.9949371357390937
ENSG00000261393,-0.034611326,-17.768093,0.9723896689428386,0.9949371357390937
ENSG00000265618,-0.034611326,-17.433304,0.9723896689428386,0.9949371357390937
ENSG00000227933,-0.034611326,-18.912577,0.9723896689428386,0.9949371357390937
ENSG00000162897,-0.034611326,-18.728355,0.9723896689428386,0.9949371357390937
ENSG00000253774,-0.034611326,-18.400818,0.9723896689428386,0.9949371357390937
ENSG00000255171,-0.034611326,-17.509825,0.9723896689428386,0.9949371357390937
