ID,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism,Units,Type,SPOT_ID
THRA.12527.50,12527-50,3.0,SL013736,Thyroid hormone receptor alpha,THA,P10827,7067,THRA,Human,RFU,Protein,SL013736
WRNIP1.12528.40,12528-40,3.0,SL019761,ATPase WRNIP1,WRIP1,Q96S55,56897,WRNIP1,Human,RFU,Protein,SL019761
FKBP6.12529.32,12529-32,3.0,SL019753,Inactive peptidyl-prolyl cis-trans isomerase FKBP6,FKBP6,O75344,8468,FKBP6,Human,RFU,Protein,SL019753
CKS1B.12530.14,12530-14,3.0,SL005032,Cyclin-dependent kinases regulatory subunit 1,CKS-1,P61024,1163,CKS1B,Human,RFU,Protein,SL005032
ERVV1.12531.5,12531-5,3.0,SL019768,Endogenous retrovirus group V member 1 Env polyprotein,ERVV1,B6SEH8,,ERVV-1,Human,RFU,Protein,SL019768
CDC34.12532.28,12532-28,3.0,SL013788,Ubiquitin-conjugating enzyme E2 R1,UB2R1,P49427,997,CDC34,Human,RFU,Protein,SL013788
CYTH2.12533.135,12533-135,3.0,SL019781,Cytohesin-2,CYH2,Q99418,9266,CYTH2,Human,RFU,Protein,SL019781
CALCOCO2.12534.10,12534-10,3.0,SL019796,Calcium-binding and coiled-coil domain-containing protein 2,CACO2,Q13137,10241,CALCOCO2,Human,RFU,Protein,SL019796
XRCC1.12535.2,12535-2,3.0,SL013748,DNA repair protein XRCC1,XRCC1,P18887,7515,XRCC1,Human,RFU,Protein,SL013748
MTMR6.12536.46,12536-46,3.0,SL019758,Myotubularin-related protein 6,MTMR6,Q9Y217,9107,MTMR6,Human,RFU,Protein,SL019758
PURA.12537.88,12537-88,3.0,SL013811,Transcriptional activator protein Pur-alpha,PURA,Q00577,5813,PURA,Human,RFU,Protein,SL013811
RGS7.12538.19,12538-19,3.0,SL019759,Regulator of G-protein signaling 7,RGS7,P49802,6000,RGS7,Human,RFU,Protein,SL019759
RHOG.12540.25,12540-25,3.0,SL019775,Rho-related GTP-binding protein RhoG,RHOG,P84095,391,RHOG,Human,RFU,Protein,SL019775
ZNF560.12543.76,12543-76,3.0,SL019752,Zinc finger protein 560,ZN560,Q96MR9,147741,ZNF560,Human,RFU,Protein,SL019752
SMTN.12546.1,12546-1,3.0,SL014839,Smoothelin,SMTN,P53814,6525,SMTN,Human,RFU,Protein,SL014839
RRAGC.12548.75,12548-75,3.0,SL019776,Ras-related GTP-binding protein C,RRAGC,Q9HB90,64121,RRAGC,Human,RFU,Protein,SL019776
HPGDS.12549.33,12549-33,3.0,SL014636,Hematopoietic prostaglandin D synthase,PTGD2,O60760,27306,HPGDS,Human,RFU,Protein,SL014636
ITCH.12551.3,12551-3,3.0,SL007599,E3 ubiquitin-protein ligase Itchy homolog,ITCH,Q96J02,83737,ITCH,Human,RFU,Protein,SL007599
VRK1.12553.5,12553-5,3.0,SL010954,Serine/threonine-protein kinase VRK1,VRK1,Q99986,7443,VRK1,Human,RFU,Protein,SL010954
RAD51D.12554.10,12554-10,3.0,SL013725,DNA repair protein RAD51 homolog 4,RA51D,O75771,5892,RAD51D,Human,RFU,Protein,SL013725
UBE2C.12556.7,12556-7,3.0,SL006252,Ubiquitin-conjugating enzyme E2 C,UBE2C,O00762,11065,UBE2C,Human,RFU,Protein,SL006252
NOVA1.12557.18,12557-18,3.0,SL019782,RNA-binding protein Nova-1,NOVA1,P51513,4857,NOVA1,Human,RFU,Protein,SL019782
UBASH3B.12558.3,12558-3,3.0,SL011269,Ubiquitin-associated and SH3 domain-containing protein B,UBS3B,Q8TF42,84959,UBASH3B,Human,RFU,Protein,SL011269
NT5C.12560.9,12560-9,3.0,SL008415,"5'(3')-deoxyribonucleotidase, cytosolic type",NT5C,Q8TCD5,30833,NT5C,Human,RFU,Protein,SL008415
PKN1.12562.1,12562-1,3.0,SL014979,Serine/threonine-protein kinase N1,PKN1,Q16512,5585,PKN1,Human,RFU,Protein,SL014979
TNFAIP8.12563.2,12563-2,3.0,SL019770,Tumor necrosis factor alpha-induced protein 8,TFIP8,O95379,25816,TNFAIP8,Human,RFU,Protein,SL019770
NIP7.12564.9,12564-9,3.0,SL019777,60S ribosome subunit biogenesis protein NIP7 homolog,NIP7,Q9Y221,51388,NIP7,Human,RFU,Protein,SL019777
KEAP1.12568.14,12568-14,3.0,SL017529,Kelch-like ECH-associated protein 1,KEAP1,Q14145,9817,KEAP1,Human,RFU,Protein,SL017529
CCT5.12569.25,12569-25,3.0,SL004993,T-complex protein 1 subunit epsilon,TCP-1-epsilon,P48643,22948,CCT5,Human,RFU,Protein,SL004993
ARL3.12571.14,12571-14,3.0,SL019778,ADP-ribosylation factor-like protein 3,ARL3,P36405,403,ARL3,Human,RFU,Protein,SL019778
EFS.12572.236,12572-236,3.0,SL019783,Embryonal Fyn-associated substrate,EFS,O43281,10278,EFS,Human,RFU,Protein,SL019783
TRIM3.12573.80,12573-80,3.0,SL019797,Tripartite motif-containing protein 3,TRIM3,O75382,10612,TRIM3,Human,RFU,Protein,SL019797
EDN2.12574.36,12574-36,3.0,SL000405,Endothelin-2,Endothelin 2,P20800,1907,EDN2,Human,RFU,Protein,SL000405
MTHFD1.12575.30,12575-30,3.0,SL008027,"C-1-tetrahydrofolate synthase, cytoplasmic",C1TC,P11586,4522,MTHFD1,Human,RFU,Protein,SL008027
MAGEA3.12576.21,12576-21,3.0,SL002732,Melanoma-associated antigen 3,MAGE-3,P43357,4102,MAGEA3,Human,RFU,Protein,SL002732
FEN1.12577.100,12577-100,3.0,SL002091,Flap endonuclease 1,FLAP endonuclease-1,P39748,2237,FEN1,Human,RFU,Protein,SL002091
ARF3.12578.13,12578-13,3.0,SL006497,ADP-ribosylation factor 3,ARF3,P61204,377,ARF3,Human,RFU,Protein,SL006497
PSMB5.12580.7,12580-7,3.0,SL012949,Proteasome subunit beta type-5,PSB5,P28074,5693,PSMB5,Human,RFU,Protein,SL012949
IMPA2.12581.39,12581-39,3.0,SL014587,Inositol monophosphatase 2,IMPA2,O14732,3613,IMPA2,Human,RFU,Protein,SL014587
ARAF.12583.77,12583-77,3.0,SL019755,Serine/threonine-protein kinase A-Raf,ARAF,P10398,369,ARAF,Human,RFU,Protein,SL019755
ERCC1.12585.39,12585-39,3.0,SL009589,DNA excision repair protein ERCC-1,ERCC1,P07992,2067,ERCC1,Human,RFU,Protein,SL009589
ARL2.12587.65,12587-65,3.0,SL019779,ADP-ribosylation factor-like protein 2,ARL2,P36404,402,ARL2,Human,RFU,Protein,SL019779
NoneX.12590.67,12590-67,3.0,SL025418,Fc_MOUSE,Fc_MOUSE,Q99LC4,,,Mouse,RFU,Protein,SL025418
OPHN1.12591.27,12591-27,3.0,SL002050,Oligophrenin-1,Oligophrenin-1,O60890,4983,OPHN1,Human,RFU,Protein,SL002050
PDRG1.12593.33,12593-33,3.0,SL019751,p53 and DNA damage-regulated protein 1,PDRG1,Q9NUG6,81572,PDRG1,Human,RFU,Protein,SL019751
GCA.12594.5,12594-5,3.0,SL019772,Grancalcin,GRAN,P28676,25801,GCA,Human,RFU,Protein,SL019772
TMOD1.12595.11,12595-11,3.0,SL010848,Tropomodulin-1,TMOD1,P28289,7111,TMOD1,Human,RFU,Protein,SL010848
ATG5.12597.68,12597-68,3.0,SL019171,Autophagy protein 5,Autophagy protein 5,Q9H1Y0,9474,ATG5,Human,RFU,Protein,SL019171
FERMT3.12599.10,12599-10,3.0,SL010979,Fermitin family homolog 3,URP2,Q86UX7,83706,FERMT3,Human,RFU,Protein,SL010979
PABPC4.12603.87,12603-87,3.0,SL019780,Polyadenylate-binding protein 4,PABP4,Q13310,8761,PABPC4,Human,RFU,Protein,SL019780
SCMH1.12604.16,12604-16,3.0,SL019785,Polycomb protein SCMH1,SCMH1,Q96GD3,22955,SCMH1,Human,RFU,Protein,SL019785
EXOSC3.12605.1,12605-1,3.0,SL005742,Exosome complex component RRP40,Exosome component 3,Q9NQT5,51010,EXOSC3,Human,RFU,Protein,SL005742
PSMB1.12612.37,12612-37,3.0,SL008624,Proteasome subunit beta type-1,PSB1,P20618,5689,PSMB1,Human,RFU,Protein,SL008624
NRBP1.12616.45,12616-45,3.0,SL019803,Nuclear receptor-binding protein,NRBP,Q9UHY1,29959,NRBP1,Human,RFU,Protein,SL019803
STK24.12617.2,12617-2,3.0,SL008369,Serine/threonine-protein kinase 24,STK24,Q9Y6E0,8428,STK24,Human,RFU,Protein,SL008369
