,names,scores,logfoldchanges,pvals,pvals_adj
182,NPTX1,10.019671,3.6454098,1.2491694878420982e-23,6.646023859209464e-22
183,TK1,10.010661,1.3852603,1.3683438944164952e-23,7.237375507242201e-22
184,FUNDC1,9.988779,1.5869161,1.7067026956379287e-23,8.92234487493498e-22
185,ALDH3A2,9.985132,1.7364069,1.770645488605695e-23,9.203274360948794e-22
186,YBX3,9.985132,2.0378857,1.770645488605695e-23,9.203274360948794e-22
187,PORCN,9.961105,3.620505,2.2554197081327977e-23,1.1689295935598604e-21
188,GDE1,9.9207735,1.0212462,3.3812697106087874e-23,1.7325164914926162e-21
189,SRM,9.849548,1.1515595,6.885238309919253e-23,3.420996092498723e-21
190,SELENOH,9.828095,0.8686291,8.521484683604133e-23,4.222348839381432e-21
191,CLTB,9.820373,2.4201605,9.200289211495082e-23,4.533781863894134e-21
192,PRPS1,9.79892,1.8556488,1.1379641805907692e-22,5.577261402482368e-21
193,TIMM22,9.794629,1.1477817,1.1873267828481928e-22,5.8034216410433616e-21
194,HSPA8P5,9.784331,0.9772387,1.3146131689713022e-22,6.373753525689894e-21
195,EIF3CL,9.777467,0.85636014,1.406882373687031e-22,6.784633821342056e-21
196,MAG,9.750865,4.3695226,1.8290397273620217e-22,8.727132413413075e-21
197,PLCD1,9.745072,4.009824,1.936412299596671e-22,9.186083476719544e-21
198,PDCL3P7,9.744858,2.8944252,1.940506655927116e-22,9.186083476719544e-21
199,MT1XP1,9.737135,3.0144312,2.0937504039445897e-22,9.885571278938383e-21
200,TFCP2L1,9.735418,0.93312144,2.1293984324032567e-22,1.0027631886899513e-20
201,LUZP1,9.728339,0.907485,2.2829065429053297e-22,1.066696953570998e-20
202,FAM45A,9.718685,1.4525189,2.5100234029550737e-22,1.1621882531200207e-20
203,INPP5D,9.698948,3.3484645,3.046232103624495e-22,1.387420258105338e-20
204,RRBP1,9.694228,1.1132572,3.1904027564848495e-22,1.4494232774801195e-20
205,UQCC2,9.693799,1.4706893,3.203839272884388e-22,1.451870480546302e-20
206,MYL5,9.675349,2.5992115,3.837777790653808e-22,1.7304540058058022e-20
207,APOC1P1,9.6706295,2.1474838,4.018967195249363e-22,1.807633225274751e-20
208,RGS2,9.66591,2.5044181,4.208618118916843e-22,1.888224785890154e-20
209,COQ5,9.640381,1.977806,5.398721076624338e-22,2.3865522876959943e-20
210,SERPINB6,9.601551,2.9161992,7.87504169322542e-22,3.455821216034396e-20
211,MRPL18,9.591682,0.7997539,8.66601549356016e-22,3.793695520433278e-20
212,RPL26L1,9.579669,0.8850044,9.735668463429377e-22,4.231144973648488e-20
213,MIIP,9.562507,0.7406718,1.1493893745314375e-21,4.9475863386751804e-20
214,CLDN19,9.561648,4.111248,1.1589612742970713e-21,4.97691084362428e-20
215,LINC00910,9.55607,2.804328,1.2231298429613168e-21,5.227575793282064e-20
216,RCBTB1,9.555641,2.700797,1.2282090369714738e-21,5.236874276789008e-20
217,CHP1,9.546631,0.85554945,1.3398255481648247e-21,5.699314525165278e-20
218,TMEM141,9.533974,1.9696678,1.5137548708980424e-21,6.393930410191356e-20
219,AGPAT2,9.510375,1.9423599,1.899760510851198e-21,7.931500132803752e-20
220,PTGR1,9.49214,1.490308,2.263389499522413e-21,9.406104380964573e-20
221,PSAP,9.47841,0.6445512,2.58186794486835e-21,1.0631637044211315e-19
222,TRIM8,9.443227,2.8278043,3.6147185441616365e-21,1.4783461147959018e-19
223,TMOD1,9.429068,3.2845657,4.137490396850954e-21,1.6845096342574222e-19
224,NDUFAF3,9.408688,1.5542012,5.0237060488724385e-21,2.0224902298540916e-19
225,RBP7,9.384874,4.126867,6.299137444840171e-21,2.5246942878919407e-19
226,MRPL10,9.380155,0.73010373,6.587588867863501e-21,2.6344512820573413e-19
227,SSBP3,9.374363,1.5956824,6.959502865294515e-21,2.777026408815307e-19
228,PRAMEF19,9.328453,2.1101384,1.0742747293699178e-20,4.23048450194669e-19
229,AAMDC,9.326736,2.4219406,1.0918071110921145e-20,4.2901597071148973e-19
230,CCM2,9.312148,2.3926485,1.2527216327436297e-20,4.890495101334222e-19
231,KRT18P65,9.292841,1.0282174,1.5022429184439222e-20,5.838523682017608e-19
232,ARL4A,9.259159,2.370491,2.0604797257547814e-20,7.890193701425316e-19
233,MAEL,9.242426,3.0551956,2.4097068554655682e-20,9.130561522096005e-19
234,ACTG1,9.241568,0.89394826,2.429114232804908e-20,9.184801740643463e-19
235,STMN1,9.221402,0.79529876,2.9324082528639724e-20,1.1018524010136377e-18
236,ATRAID,9.218827,0.9529934,3.003664440257873e-20,1.1262804957274635e-18
237,B3GNT7,9.214322,2.6431189,3.132505040394469e-20,1.1721547906339138e-18
238,TRIM2,9.207887,2.4914644,3.3260924865720906e-20,1.239450497682112e-18
239,AL138878.2,9.206599,1.0890636,3.3662060397562345e-20,1.2518122089287308e-18
240,SLC12A3,9.1978035,1.461217,3.6534110338642945e-20,1.3530374005498237e-18
241,SLC23A2,9.190295,1.9351835,3.917657821404688e-20,1.439080987104989e-18
242,PAIP1,9.188364,1.0418489,3.988606628306748e-20,1.4591989685221199e-18
243,DEPP1,9.186219,2.6161222,4.0689290113400895e-20,1.4855709240593088e-18
244,PNPT1,9.171631,1.0736558,4.6591667776413713e-20,1.6907994366506996e-18
245,SSRP1,9.141811,0.97103983,6.141515443154953e-20,2.2021545235137723e-18
246,UPP1,9.114351,0.9229735,7.914277851469957e-20,2.832180859704606e-18
247,RNASEH2C,9.099119,0.8015271,9.106732865756192e-20,3.2396259165045106e-18
248,EEF1A1P9,9.093112,0.83756196,9.624370661563232e-20,3.4036303774893027e-18
249,NEIL2,9.078739,2.502448,1.0984020480995894e-19,3.854237225588365e-18
250,FERMT2,9.070586,1.6940553,1.1837797084582318e-19,4.137723027471447e-18
251,NDRG2,9.063936,3.019113,1.2582609298852342e-19,4.389553990601564e-18
252,GLUD1,9.042483,1.2285951,1.5315266982331692e-19,5.32227659524729e-18
253,RTP3,9.033044,3.2954786,1.6696201271005622e-19,5.791013194689565e-18
254,KRT18P55,9.025749,0.89777774,1.7846925519474398e-19,6.131183784176005e-18
255,ERCC1,9.023175,2.3831224,1.8271495747975228e-19,6.265108313887476e-18
256,AC005747.1,8.978553,2.0309422,2.7435149408856526e-19,9.301134487558953e-18
257,GNG10,8.977051,1.0520732,2.7812080926860337e-19,9.411232487745835e-18
258,AAAS,8.969113,1.3919864,2.989106325024527e-19,1.0058119716071339e-17
259,AC073465.1,8.968684,0.5116153,3.0007713922418295e-19,1.0078568497294905e-17
260,CIB1,8.958386,0.93081427,3.2946276490600414e-19,1.1044963620529165e-17
261,ABCB8,8.953024,1.187713,3.458759025489365e-19,1.1573687900505787e-17
262,CREB3,8.921917,1.3215948,4.582873104954737e-19,1.5166366847883232e-17
263,RNF141,8.91591,2.1256602,4.838275712475118e-19,1.5953042184680297e-17
264,BAIAP2L2,8.903896,5.1049457,5.391997911222407e-19,1.7617767088189732e-17
265,TENT5B,8.873432,2.4751117,7.092518374077586e-19,2.2966007431752846e-17
