target,trimester,term,df,df_res,sum_sq,sum_sq_res,f_value,pr_f,p_adj_by
suPAR,Second,group,2,369,1589956.653225826,2699916.3467741907,108.65040425072814,7.909218701566273e-38,3.034163133884925e-36
tPA,Second,group,2,369,797634.141946035,3492238.858053976,42.14015855463254,3.286084305535351e-17,5.169153167668202e-16
tau,Second,group,2,369,29903.991408390924,4259969.008591609,1.2951470782347778,0.2750995009899946,1
"transcription factor MLR1, isoform CRA_b",Second,group,2,369,269569.7305502854,4020303.2694497174,12.371110325051491,6.305987127082289e-6,6.974800957886045e-5
uPA,Second,group,2,369,358187.1257115798,3931685.874288424,16.80844472493545,1.0322681857854963e-7,1.2107386433218954e-6
vWF,Second,group,2,369,1782219.1969745117,2507653.8030255116,131.12633069408272,9.525111594713414e-44,7.222473659911425e-42
14-3-3,Third,group,2,323,601697.8667493742,2285439.6332506207,42.51882397865454,4.056199640709364e-17,6.370253438738949e-16
17-beta-HSD 1,Third,group,2,323,122800.76687344722,2764336.7331265514,7.174351667219192,8.942141891271984e-4,0.008833541660834119
3HIDH,Third,group,2,323,733904.0873449049,2153233.4126550867,55.0453608092826,2.6836031410114495e-21,4.8100068445673046e-20
4-1BB,Third,group,2,323,1348784.51129031,1538352.9887096775,141.59864489624906,6.983094359744157e-45,7.287705693469906e-43
4-1BB ligand,Third,group,2,323,464755.7836228232,2422381.7163771717,30.9852318268568,4.894187708348472e-13,6.785915474535104e-12
40S ribosomal protein SA,Third,group,2,323,508755.0707195974,2378382.4292803975,34.54614485445659,2.5351084901678375e-14,3.661450274924759e-13
41,Third,group,2,323,1392532.9119106554,1494604.5880893306,150.47061079952286,6.614594364601143e-47,1.5655937173788152e-44
4EBP2,Third,group,2,323,476495.82183622196,2410641.678163772,31.922651932728183,2.233205610598815e-13,3.132192747503488e-12
6-Phosphogluconate dehydrogenase,Third,group,2,323,8877.105459056795,2878260.3945409427,0.4980968832273868,0.6081520500862806,1
6Ckine,Third,group,2,323,550568.6667493745,2336568.83325062,38.0544490770783,1.4452552611680642e-15,2.171390357017175e-14
ABL1,Third,group,2,323,83063.19416873343,2804074.305831265,4.7840051279503,0.00896419132125944,0.08219513602061097
ABL2,Third,group,2,323,282514.82642679615,2604622.6735732015,17.51737206730773,5.988139245511785e-8,7.087676746452445e-7
ACE2,Third,group,2,323,423784.94057071535,2463352.5594292814,27.783789064293444,7.345909262105294e-12,9.83407275077111e-11
ACTH,Third,group,2,323,876538.0328784031,2010599.46712159,70.4073061913834,4.183910793322093e-26,8.780040980042386e-25
ADAM 9,Third,group,2,323,1124512.0861042093,1762625.4138957819,103.03306673902736,2.45102887107655e-35,8.023236481122101e-34
ADAM12,Third,group,2,323,332937.4975186074,2554200.00248139,21.05136864655017,2.5478302035410787e-9,3.150117031442307e-8
ADAMTS-4,Third,group,2,323,128487.28846153524,2758649.7115384634,7.522048558664428,6.41224698973602e-4,0.006402798598861288
ADAMTS-5,Third,group,2,323,147726.26910669776,2739411.230893301,8.70909492947937,2.070841830600827e-4,0.0021404604153185468
AGR2,Third,group,2,323,1188719.5787841089,1698417.921215881,113.03355291741049,6.119289723242235e-38,2.3709322787693353e-36
AIF1,Third,group,2,323,1359209.461042167,1527928.03895782,143.66666646685565,2.3287476781616448e-45,2.7563505272915128e-43
AIP,Third,group,2,323,87023.72282878449,2800113.777171215,5.019200059451489,0.007134705254159341,0.06585558670540584
AK1A1,Third,group,2,323,1261157.695905693,1625979.804094293,125.26414373407428,5.36537668026974e-41,2.792204643527895e-39
ALCAM,Third,group,2,323,575613.6719602928,2311523.828039703,40.21659084536618,2.5356626953937803e-16,3.897121897826887e-15
ALK-1,Third,group,2,323,1140662.0571960171,1746475.4428039698,105.4792513666245,5.5430020882386904e-36,1.9043749223498823e-34
ALT,Third,group,2,323,1370387.5941687215,1516749.9058312655,145.91568168712286,7.11395645282687e-46,9.72475609057717e-44
AMHR2,Third,group,2,323,170072.2244416857,2717065.275558313,10.108945300067658,5.5165254570421713e-5,5.874011838549226e-4
AMNLS,Third,group,2,323,576140.6054590521,2310996.8945409423,40.26258451555374,2.4439984014824517e-16,3.765184237273633e-15
AMPK a1b1g1,Third,group,2,323,1137611.2183622704,1749526.2816377175,105.01369067375421,7.3478456314606e-36,2.493560182513656e-34
AMPK a2b2g1,Third,group,2,323,1194626.7604218232,1692510.7395781646,113.99172678585792,3.4860243914424886e-38,1.3615383931723912e-36
AMPM2,Third,group,2,323,287625.7604218335,2599511.7395781633,17.869340461476067,4.360406116509967e-8,5.180011780742651e-7
AN32B,Third,group,2,323,1346014.7679900615,1541122.7320099254,141.05390863120104,9.337186781440391e-45,9.342652080852635e-43
ANGL3,Third,group,2,323,91360.69590570685,2795776.804094292,5.277514416445536,0.005554657568291145,0.05156548626378412
ANGL4,Third,group,2,323,421418.8090570681,2465718.6909429287,27.60215020176922,8.577952309888196e-12,1.1451834956312269e-10
