protein_name,trimester,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
LYVE1,Third,log2rfu,PPROM,sPTD,4,62,0.6820139221490565,0.4952301475949121,0.4952301475949121,ns
TF,Second,log2rfu,PPROM,sPTD,4,62,0.6800755197952396,0.49645664407184775,0.49645664407184775,ns
PDPK1,Third,log2rfu,PPROM,sPTD,4,62,-0.6793601714792163,0.4969096793686781,0.4969096793686781,ns
PCSK7,Third,log2rfu,PPROM,sPTD,4,62,0.6790284526454857,0.4971198340656708,0.4971198340656708,ns
CDON,Third,log2rfu,PPROM,sPTD,4,62,0.6786967338117557,0.49733003610460985,0.49733003610460985,ns
FYN,Third,log2rfu,PPROM,sPTD,4,62,-0.6786967338117557,0.49733003610460985,0.49733003610460985,ns
JAK2,Third,log2rfu,PPROM,sPTD,4,62,0.6786967338117557,0.49733003610460985,0.49733003610460985,ns
DSC3,Second,log2rfu,PPROM,sPTD,4,62,0.6678638174303825,0.5042205255632141,0.5042205255632141,ns
CD27,Third,log2rfu,PPROM,sPTD,4,62,0.6667548557974728,0.504928733066297,0.504928733066297,ns
BOC,Third,log2rfu,PPROM,sPTD,4,62,-0.6637693862939018,0.5068379222057413,0.5068379222057413,ns
PPIE,Second,log2rfu,PPROM,sPTD,4,62,-0.6608857017933218,0.5086856162185666,0.5086856162185666,ns
PCNA,Second,log2rfu,PPROM,sPTD,4,62,0.6579781536112127,0.5105521691760517,0.5105521691760517,ns
NXPH1,Second,log2rfu,PPROM,sPTD,4,62,1.131326997658519,0.25791748519793106,0.5158349703958621,ns
CHST6,Third,log2rfu,PPROM,sPTD,4,62,0.6483444605254528,0.5167621836945364,0.5167621836945364,ns
PTN,Second,log2rfu,PPROM,sPTD,4,62,0.643149657882458,0.520126995362465,0.520126995362465,ns
DAPK2,Third,log2rfu,PPROM,sPTD,4,62,-0.6412125056002561,0.5213846257223043,0.5213846257223043,ns
PDE7A,Third,log2rfu,Control,PPROM,260,4,1.1235396025204198,0.2612083909383171,0.5224167818766342,ns
PDE7A,Third,log2rfu,PPROM,sPTD,4,62,1.0329724482354872,0.30161679243724215,0.5224167818766342,ns
BMP10,Third,log2rfu,Control,PPROM,260,4,0.6261595059894295,0.5312103247325289,0.5312103247325289,ns
MATK,Third,log2rfu,PPROM,sPTD,4,62,0.6256217204149419,0.5315630886451675,0.5315630886451675,ns
EDAR,Second,log2rfu,Control,PPROM,306,4,0.6210941929183009,0.5345376498622758,0.5345376498622758,ns
RTN4,Second,log2rfu,PPROM,sPTD,4,62,-0.6210522916984311,0.5345652179152536,0.5345652179152536,ns
PIGR,Second,log2rfu,Control,PPROM,306,4,0.6203393385272966,0.5350344008412501,0.5350344008412501,ns
RGMA,Second,log2rfu,Control,PPROM,306,4,0.6121567169288105,0.5404340754237509,0.5404340754237509,ns
FCN2,Third,log2rfu,PPROM,sPTD,4,62,-0.6060503092248668,0.5444813462682065,0.5444813462682065,ns
ABL2,Third,log2rfu,PPROM,sPTD,4,62,0.6055527309742715,0.5448117990340483,0.5448117990340483,ns
HDAC8,Second,log2rfu,Control,PPROM,306,4,-0.6042156487354458,0.5457002782399563,0.5457002782399563,ns
PA2G4,Second,log2rfu,PPROM,sPTD,4,62,-0.602589360742041,0.5467818998427161,0.5467818998427161,ns
CAMK2A,Second,log2rfu,PPROM,sPTD,4,62,0.600990209241881,0.5478465074452155,0.5478465074452155,ns
GNS,Second,log2rfu,PPROM,sPTD,4,62,0.5964835095596125,0.5508522669976738,0.5508522669976738,ns
CAMK2B,Second,log2rfu,PPROM,sPTD,4,62,0.5948843580594525,0.5519207737126992,0.5519207737126992,ns
CAMK2D,Second,log2rfu,PPROM,sPTD,4,62,0.5948843580594525,0.5519207737126992,0.5519207737126992,ns
PDPK1,Second,log2rfu,PPROM,sPTD,4,62,0.5916860550591329,0.5540608362673296,0.5540608362673296,ns
PCSK7,Second,log2rfu,PPROM,sPTD,4,62,0.5906684131953949,0.5547426160385733,0.5547426160385733,ns
CAMK1D,Third,log2rfu,PPROM,sPTD,4,62,0.587639913952847,0.5567740141502338,0.5567740141502338,ns
LIN7B,Second,log2rfu,PPROM,sPTD,4,62,0.5816550138308577,0.5607990788585249,0.5607990788585249,ns
TBK1,Third,log2rfu,Control,PPROM,260,4,-0.5704360885633878,0.5683819583905151,0.5683819583905151,ns
CAMK1,Second,log2rfu,Control,PPROM,306,4,-0.5659596281993501,0.571421225231669,0.571421225231669,ns
CAPG,Third,log2rfu,PPROM,sPTD,4,62,0.5607706884207101,0.5749538710912541,0.5749538710912541,ns
SKP1,Second,log2rfu,Control,PPROM,306,4,-0.559256521207232,0.5759866638577517,0.5759866638577517,ns
AMHR2,Third,log2rfu,PPROM,sPTD,4,62,-0.5534728740786481,0.579939650168948,0.579939650168948,ns
PDE3A,Third,log2rfu,PPROM,sPTD,4,62,-0.5483312321558318,0.5834644858249557,0.5834644858249557,ns
CAMK2D,Third,log2rfu,PPROM,sPTD,4,62,-0.5461750597365864,0.584945608153451,0.584945608153451,ns
EPHB2,Second,log2rfu,Control,PPROM,306,4,-1.048824885036952,0.2942587219662716,0.5885174439325432,ns
CDC37,Second,log2rfu,Control,PPROM,306,4,0.8449538111145225,0.3981366282189731,0.5969221386128348,ns
CDC37,Second,log2rfu,PPROM,sPTD,4,62,1.0397392299220931,0.2984610693064174,0.5969221386128348,ns
TLR2,Second,log2rfu,Control,PPROM,306,4,-0.5203966171583332,0.6027871673852279,0.6027871673852279,ns
MICB,Second,log2rfu,PPROM,sPTD,4,62,0.5137637637786181,0.6074171653489868,0.6074171653489868,ns
CKAP2,Third,log2rfu,PPROM,sPTD,4,62,-0.5131690357804425,0.6078330836793524,0.6078330836793524,ns
GRN,Second,log2rfu,PPROM,sPTD,4,62,-0.5046049870049757,0.6138363064515535,0.6138363064515535,ns
CAMK2A,Third,log2rfu,PPROM,sPTD,4,62,-0.4969148129276691,0.6192491251987883,0.6192491251987883,ns
UFM1,Second,log2rfu,PPROM,sPTD,4,62,-0.4958823424586492,0.619977424843148,0.619977424843148,ns
LGMN,Third,log2rfu,Control,PPROM,260,4,-0.48012851526391676,0.6311360131377526,0.6311360131377526,ns
MBD4,Third,log2rfu,Control,PPROM,260,4,0.4798045419067885,0.6313663829716613,0.6313663829716613,ns
CD226,Third,log2rfu,Control,PPROM,260,4,-0.47624083497837866,0.6339028106593345,0.6339028106593345,ns
GNS,Third,log2rfu,Control,PPROM,260,4,0.47130024128217446,0.6374263433885516,0.6374263433885516,ns
BCAR3,Second,log2rfu,PPROM,sPTD,4,62,0.4701505410469864,0.6382474672214478,0.6382474672214478,ns
UFC1,Second,log2rfu,Control,PPROM,306,4,0.4558414696396494,0.6485039810042464,0.6485039810042464,ns
PTH,Second,log2rfu,PPROM,sPTD,4,62,-0.44383722999890235,0.6571602693098821,0.6571602693098821,ns
CKAP2,Second,log2rfu,Control,PPROM,306,4,-0.4385402069978318,0.6609947305040327,0.6609947305040327,ns
ECM1,Third,log2rfu,PPROM,sPTD,4,62,-0.4383664387743084,0.6611206711019515,0.6611206711019515,ns
KIF23,Third,log2rfu,PPROM,sPTD,4,62,-0.4357126881044678,0.6630451988393345,0.6630451988393345,ns
DAPK2,Second,log2rfu,Control,sPTD,306,62,0.4280237256471702,0.6686338469809424,0.6686338469809424,ns
PARK7,Second,log2rfu,PPROM,sPTD,4,62,-0.42668269572446077,0.6696104560124833,0.6696104560124833,ns
DMP1,Second,log2rfu,PPROM,sPTD,4,62,-0.41461637076870933,0.6784227619847898,0.6784227619847898,ns
PSME1,Third,log2rfu,PPROM,sPTD,4,62,0.4090093219891956,0.6825328200910654,0.6825328200910654,ns
HINT1,Third,log2rfu,Control,PPROM,260,4,-0.3823695547504978,0.7021872695843137,0.7021872695843137,ns
STK16,Second,log2rfu,Control,PPROM,306,4,0.3787255450546548,0.7048916818062195,0.7048916818062195,ns
ROR1,Third,log2rfu,PPROM,sPTD,4,62,-0.37500814153186207,0.707654411723606,0.707654411723606,ns
SIRT2,Second,log2rfu,PPROM,sPTD,4,62,0.37420145103739744,0.7082544445209635,0.7082544445209635,ns
KYNU,Third,log2rfu,PPROM,sPTD,4,62,-0.3711933749439663,0.710493507229621,0.710493507229621,ns
CPNE1,Second,log2rfu,PPROM,sPTD,4,62,-0.36155361644522443,0.7176856315456703,0.7176856315456703,ns
C6,Third,log2rfu,Control,PPROM,260,4,0.3602583731265014,0.7186539256475739,0.7186539256475739,ns
GOT1,Third,log2rfu,PPROM,sPTD,4,62,-0.3594173563465485,0.7192828925207184,0.7192828925207184,ns
FAM107B,Second,log2rfu,PPROM,sPTD,4,62,0.3576284263993777,0.7206214022403766,0.7206214022403766,ns
PAK3,Third,log2rfu,Control,PPROM,260,4,0.35499380607316894,0.722594231474604,0.722594231474604,ns
PARK7,Third,log2rfu,PPROM,sPTD,4,62,0.34764133774913003,0.728109557339599,0.728109557339599,ns
ADAM12,Third,log2rfu,Control,PPROM,260,4,0.34665149212711904,0.7288531566201719,0.7288531566201719,ns
PTN,Third,log2rfu,PPROM,sPTD,4,62,0.34366071174436896,0.7311014609538747,0.7311014609538747,ns
FER,Second,log2rfu,PPROM,sPTD,4,62,0.34338144030704465,0.7313115201720246,0.7313115201720246,ns
SPINT2,Third,log2rfu,Control,PPROM,260,4,-0.33879513821676144,0.7347640640556732,0.7347640640556732,ns
NCAM1,Third,log2rfu,PPROM,sPTD,4,62,0.3312212554794908,0.7404773659775257,0.7404773659775257,ns
C5,Second,log2rfu,Control,PPROM,306,4,-0.3303242815034617,0.7411549476902843,0.7411549476902843,ns
EDAR,Third,log2rfu,Control,PPROM,260,4,0.32283945037820005,0.7468168343021326,0.7468168343021326,ns
ERBB2,Second,log2rfu,PPROM,sPTD,4,62,-0.3220109611685455,0.7474443906271102,0.7474443906271102,ns
LY9,Second,log2rfu,PPROM,sPTD,4,62,-0.3138698262586408,0.7536199082963086,0.7536199082963086,ns
CNTN2,Second,log2rfu,Control,PPROM,306,4,0.31368729072572804,0.7537585544470387,0.7537585544470387,ns
LY86,Second,log2rfu,Control,PPROM,306,4,-0.3105470964591502,0.756144950670254,0.756144950670254,ns
ERBB2,Third,log2rfu,PPROM,sPTD,4,62,0.29987382569199755,0.7642734001307581,0.7642734001307581,ns
SBDS,Third,log2rfu,Control,PPROM,260,4,0.2968405884686662,0.7665882161854237,0.7665882161854237,ns
PA2G4,Third,log2rfu,PPROM,sPTD,4,62,-0.2955614808535066,0.7675649937915815,0.7675649937915815,ns
JAG1,Third,log2rfu,PPROM,sPTD,4,62,0.29008812009696017,0.7717488240215965,0.7717488240215965,ns
FCAR,Second,log2rfu,Control,PPROM,306,4,-0.2839460277201605,0.7764517424898079,0.7764517424898079,ns
FCN1,Second,log2rfu,PPROM,sPTD,4,62,0.27287339689090706,0.7849505369340749,0.7849505369340749,ns
AGR2,Second,log2rfu,PPROM,sPTD,4,62,0.8453696339481225,0.39790449329639516,0.7958089865927903,ns
OSM,Second,log2rfu,PPROM,sPTD,4,62,-0.2576087689348361,0.7967088614504934,0.7967088614504934,ns
PCSK9,Third,log2rfu,Control,PPROM,260,4,0.2500264383636488,0.8025669029571569,0.8025669029571569,ns
TBK1,Second,log2rfu,Control,PPROM,306,4,0.7969148776710117,0.4255004697204408,0.8068905373971821,ns
TBK1,Second,log2rfu,PPROM,sPTD,4,62,0.835483970128953,0.40344526869859104,0.8068905373971821,ns
PDE9A,Second,log2rfu,Control,PPROM,306,4,0.23560515252024802,0.8137390748744411,0.8137390748744411,ns
FCN1,Third,log2rfu,Control,PPROM,260,4,-0.2296161168645756,0.8183900820209962,0.8183900820209962,ns
SGTA,Third,log2rfu,PPROM,sPTD,4,62,-0.22606638518705366,0.8211497885626409,0.8211497885626409,ns
PIGR,Third,log2rfu,Control,PPROM,260,4,-0.5569911942425696,0.5775334456100806,0.8229100055334738,ns
PIGR,Third,log2rfu,PPROM,sPTD,4,62,-0.8213358323156926,0.4114550027667369,0.8229100055334738,ns
NXPH1,Second,log2rfu,Control,PPROM,306,4,-0.21431825869392795,0.8302988804454738,0.8302988804454738,ns
MIF,Second,log2rfu,PPROM,sPTD,4,62,-0.19029902851901853,0.8490748148717249,0.8490748148717249,ns
FGF7,Third,log2rfu,Control,PPROM,260,4,0.1846648135630449,0.8534919461701869,0.8534919461701869,ns
RSPO2,Second,log2rfu,PPROM,sPTD,4,62,-0.18419317733658952,0.8538619116091238,0.8538619116091238,ns
EPHB2,Second,log2rfu,PPROM,sPTD,4,62,-0.18259402583643014,0.8551165722295149,0.8551165722295149,ns
LRIG3,Third,log2rfu,PPROM,sPTD,4,62,0.18078676438289676,0.8565349524154097,0.8565349524154097,ns
RAD51,Third,log2rfu,Control,PPROM,260,4,0.17761839304550786,0.8590226786700971,0.8590226786700971,ns
DHH,Second,log2rfu,Control,PPROM,306,4,-0.17204641279768995,0.8634010408359892,0.8634010408359892,ns
BMPR1A,Second,log2rfu,Control,PPROM,306,4,-0.16981204380031695,0.8651579549138919,0.8651579549138919,ns
MATN3,Second,log2rfu,Control,PPROM,306,4,-0.1600593250685421,0.8728343419038607,0.8728343419038607,ns
HCK,Third,log2rfu,PPROM,sPTD,4,62,0.14943933459540365,0.8812069756646289,0.8812069756646289,ns
BMPR1A,Third,log2rfu,Control,PPROM,260,4,0.14198132376141118,0.8870947577064697,0.8870947577064697,ns
NAGK,Second,log2rfu,PPROM,sPTD,4,62,0.12415230737604416,0.9011946831909325,0.9011946831909325,ns
ING1,Third,log2rfu,PPROM,sPTD,4,62,0.10979893396465792,0.9125688365068392,0.9125688365068392,ns
BPI,Third,log2rfu,Control,PPROM,260,4,0.0951671736563938,0.9241820432423553,0.9241820432423553,ns
ETHE1,Second,log2rfu,Control,PPROM,306,4,-0.7331749728946128,0.4634517176645196,0.9269034353290392,ns
ETHE1,Second,log2rfu,PPROM,sPTD,4,62,-0.6097128537882073,0.542052038304656,0.9269034353290392,ns
AGR2,Third,log2rfu,PPROM,sPTD,4,62,-0.08972994452398815,0.9285018196286221,0.9285018196286221,ns
AGR2,Second,log2rfu,Control,PPROM,306,4,0.06887291463522824,0.945090778300288,0.945090778300288,ns
ARSB,Second,log2rfu,Control,PPROM,306,4,0.06742359420449981,0.9462444864651767,0.9462444864651767,ns
PPIE,Third,log2rfu,PPROM,sPTD,4,62,0.05357259164740924,0.9572756938396962,0.9572756938396962,ns
PDE7A,Second,log2rfu,PPROM,sPTD,4,62,-0.046084638686423963,0.9632427895522334,0.9632427895522334,ns
RAC1,Third,log2rfu,PPROM,sPTD,4,62,-0.03466461812479401,0.9723471746069068,0.9723471746069068,ns
LYVE1,Second,log2rfu,PPROM,sPTD,4,62,0.026894820684506045,0.9785436245197286,0.9785436245197286,ns
HGF,Third,log2rfu,Control,sPTD,260,62,0.026013478133312364,0.979246588093627,0.979246588093627,ns
BDNF,Second,log2rfu,PPROM,sPTD,4,62,-0.011484815319329409,0.9908366446160747,0.9908366446160747,ns
UBE2N,Second,log2rfu,Control,PPROM,306,4,-0.00501223315626807,0.9960008332943082,0.9960008332943082,ns
CD109,Third,log2rfu,Control,PPROM,260,4,-0.4708952745857642,0.6377155226928758,1,ns
CD109,Third,log2rfu,PPROM,sPTD,4,62,-0.5498239669076173,0.5824401183557464,1,ns
NCAM1,Second,log2rfu,Control,PPROM,306,4,-0.6326585621884859,0.526956635399372,1,ns
NCAM1,Second,log2rfu,PPROM,sPTD,4,62,-0.47727403409315305,0.6331669984088515,1,ns
