target,trimester,central_cluster
TAJ,Second,term-specific
TAK1-TAB1,Second,term-specific
TBP,Second,term-specific
TCPTP,Second,term-specific
TGF-b2,Second,term-specific
TGF-b3,Second,term-specific
TIMD3,Second,term-specific
TIMP-3,Second,term-specific
TLR4:MD-2 complex,Second,term-specific
TNF sR-I,Second,term-specific
TNF sR-II,Second,term-specific
TNF-a,Second,term-specific
TNF-b,Second,term-specific
TNFSF15,Second,term-specific
TNFSF18,Second,term-specific
TNR4,Second,term-specific
TPSG1,Second,term-specific
TS,Second,term-specific
TSH,Second,term-specific
Topoisomerase I,Second,term-specific
ULBP-2,Second,term-specific
UNC5H3,Second,term-specific
UNC5H4,Second,term-specific
VCAM-1,Second,term-specific
VEGF,Second,term-specific
VWC2L,Second,term-specific
WFKN1,Second,term-specific
WISP-1,Second,term-specific
WNT7A,Second,term-specific
XEDAR,Second,term-specific
a2-HS-Glycoprotein,Second,term-specific
annexin VI,Second,term-specific
b-ECGF,Second,term-specific
b-Endorphin,Second,term-specific
b2-Microglobulin,Second,term-specific
calgranulin B,Second,term-specific
carbonic anhydrase II,Second,term-specific
dopa decarboxylase,Second,term-specific
gpIIbIIIa,Second,term-specific
hnRNP K,Second,term-specific
kallikrein 13,Second,term-specific
kallikrein 5,Second,term-specific
paraoxonase 1,Second,term-specific
sCD4,Second,term-specific
"transcription factor MLR1, isoform CRA_b",Second,term-specific
41,Third,sPTD-specific
4EBP2,Third,sPTD-specific
6-Phosphogluconate dehydrogenase,Third,sPTD-specific
6Ckine,Third,sPTD-specific
ACE2,Third,sPTD-specific
AIF1,Third,sPTD-specific
ALT,Third,sPTD-specific
ARGI1,Third,sPTD-specific
ARI3A,Third,sPTD-specific
ARP19,Third,sPTD-specific
AURKB,Third,sPTD-specific
Albumin,Third,sPTD-specific
Angiopoietin-4,Third,sPTD-specific
Angiostatin,Third,sPTD-specific
Apo A-I,Third,sPTD-specific
Azurocidin,Third,sPTD-specific
B7-2,Third,sPTD-specific
BCL2-like 1 protein,Third,sPTD-specific
BMP-6,Third,sPTD-specific
BSSP4,Third,sPTD-specific
Bcl-2,Third,sPTD-specific
Bone proteoglycan II,Third,sPTD-specific
C1-Esterase Inhibitor,Third,sPTD-specific
CAMK2A,Third,sPTD-specific
CAMK2B,Third,sPTD-specific
CAMK2D,Third,sPTD-specific
CD109,Third,sPTD-specific
CD30,Third,sPTD-specific
CD39,Third,sPTD-specific
"CD40 ligand, soluble",Third,sPTD-specific
CFC1,Third,sPTD-specific
CLM6,Third,sPTD-specific
COMMD7,Third,sPTD-specific
CONA1,Third,sPTD-specific
CRTAM,Third,sPTD-specific
CTLA-4,Third,sPTD-specific
"CXCL16, soluble",Third,sPTD-specific
Cadherin E,Third,sPTD-specific
Cadherin-12,Third,sPTD-specific
Cadherin-5,Third,sPTD-specific
Carbonic Anhydrase IV,Third,sPTD-specific
Carbonic Anhydrase X,Third,sPTD-specific
Carbonic anhydrase 6,Third,sPTD-specific
Cathepsin S,Third,sPTD-specific
Chk2,Third,sPTD-specific
Chymase,Third,sPTD-specific
Coagulation Factor X,Third,sPTD-specific
DAPK2,Third,sPTD-specific
DC-SIGNR,Third,sPTD-specific
DLL1,Third,sPTD-specific
Discoidin domain receptor 2,Third,sPTD-specific
EDA,Third,sPTD-specific
EDAR,Third,sPTD-specific
EF-1-beta,Third,sPTD-specific
