protein_name,trimester,.y.,n,statistic,df,p,p_adj_bh,p_adj_by,method
NOTC2,Third,log2rfu,326,157.0656587805115,2,7.829999999999999e-35,1.5948448275862066e-33,1.32867380427499e-32,Kruskal-Wallis
NUDC3,Third,log2rfu,326,157.0360561254654,2,7.94e-35,1.5948448275862066e-33,1.32867380427499e-32,Kruskal-Wallis
UBE2N,Third,log2rfu,326,156.9701062038091,2,8.21e-35,1.6075042016806723e-33,1.3392203969258194e-32,Kruskal-Wallis
BSP,Second,log2rfu,372,157.00002530846564,2,8.089999999999999e-35,1.6075042016806723e-33,1.3392203969258194e-32,Kruskal-Wallis
NAP-2,Third,log2rfu,326,156.97484219845524,2,8.189999999999999e-35,1.6075042016806723e-33,1.3392203969258194e-32,Kruskal-Wallis
Ubiquitin,Third,log2rfu,326,156.91433967202397,2,8.44e-35,1.6387666666666668e-33,1.3652653246614046e-32,Kruskal-Wallis
LDH-H 1,Third,log2rfu,326,156.8671497929986,2,8.639999999999999e-35,1.6637355371900826e-33,1.386067024997987e-32,Kruskal-Wallis
TAJ,Second,log2rfu,372,156.77070156361287,2,9.07e-35,1.6768661417322833e-33,1.3970062022694973e-32,Kruskal-Wallis
41,Third,log2rfu,326,156.75498529978836,2,9.139999999999999e-35,1.6768661417322833e-33,1.3970062022694973e-32,Kruskal-Wallis
FABP,Third,log2rfu,326,156.8064363896542,2,8.909999999999999e-35,1.6768661417322833e-33,1.3970062022694973e-32,Kruskal-Wallis
PLXC1,Third,log2rfu,326,156.77032657779546,2,9.07e-35,1.6768661417322833e-33,1.3970062022694973e-32,Kruskal-Wallis
Soggy-1,Third,log2rfu,326,156.80862007393443,2,8.899999999999999e-35,1.6768661417322833e-33,1.3970062022694973e-32,Kruskal-Wallis
eIF-5,Third,log2rfu,326,156.77363412890418,2,9.06e-35,1.6768661417322833e-33,1.3970062022694973e-32,Kruskal-Wallis
MK12,Third,log2rfu,326,156.69620436918444,2,9.419999999999999e-35,1.714734375e-33,1.4285544310919465e-32,Kruskal-Wallis
CK2-A2:B,Third,log2rfu,326,156.4673097348766,2,1.0599999999999999e-34,1.8998461538461536e-33,1.5827720497350587e-32,Kruskal-Wallis
CTAP-III,Third,log2rfu,326,156.46360080674845,2,1.0599999999999999e-34,1.8998461538461536e-33,1.5827720497350587e-32,Kruskal-Wallis
GFRa-1,Third,log2rfu,326,156.4011705980124,2,1.09e-34,1.938702290076336e-33,1.615143305829309e-32,Kruskal-Wallis
C1r,Third,log2rfu,326,156.34368964907048,2,1.12e-34,1.976969696969697e-33,1.6470240883463734e-32,Kruskal-Wallis
PCI,Second,log2rfu,372,156.33030353803065,2,1.13e-34,1.979624060150376e-33,1.6492354525895886e-32,Kruskal-Wallis
PKC-B-II,Second,log2rfu,372,156.3111233724062,2,1.14e-34,1.9822388059701492e-33,1.6514138113963374e-32,Kruskal-Wallis
SHC1,Third,log2rfu,326,156.30130826366826,2,1.15e-34,1.984814814814815e-33,1.6535598982207642e-32,Kruskal-Wallis
BOC,Third,log2rfu,326,156.22473684379588,2,1.19e-34,1.994748201438849e-33,1.6618354560473302e-32,Kruskal-Wallis
NR1D1,Third,log2rfu,326,156.22800836189322,2,1.19e-34,1.994748201438849e-33,1.6618354560473302e-32,Kruskal-Wallis
MMP-7,Third,log2rfu,326,156.2392973087949,2,1.18e-34,1.994748201438849e-33,1.6618354560473302e-32,Kruskal-Wallis
ON,Third,log2rfu,326,156.25682102808332,2,1.1699999999999999e-34,1.994748201438849e-33,1.6618354560473302e-32,Kruskal-Wallis
PTHrP,Third,log2rfu,326,156.20608083601041,2,1.2e-34,1.997142857142857e-33,1.663830456594806e-32,Kruskal-Wallis
Cathepsin S,Third,log2rfu,326,156.15714783911585,2,1.23e-34,2.0325531914893618e-33,1.6933309966053523e-32,Kruskal-Wallis
PERL,Third,log2rfu,326,156.12111897583577,2,1.2599999999999999e-34,2.0674647887323943e-33,1.7224160360523693e-32,Kruskal-Wallis
