leiden,gene,rowsum,norm_rank
1,MIEN1,55820270,0.9822247065399664
1,SH3GL1,55804373,0.982168809390721
1,RPS8,55799035,0.9821129122414757
1,SEC61A1,55795160,0.9820570150922303
1,DNMT3B,55793595,0.982001117942985
1,PPP1R8,55792788,0.9819452207937395
1,TXNIP,55776906,0.9818893236444941
1,PDHX,55766140,0.9818334264952487
1,MX1,55754431,0.9817775293460034
1,METTL5,55749840,0.981721632196758
1,ANXA7,55747196,0.9816657350475125
1,KRT8,55747186,0.9816098378982672
1,SPEN,55743256,0.9815539407490218
1,DDX21,55738085,0.9814980435997764
1,TOMM70,55732035,0.9814421464505311
1,UBE2R2,55731585,0.9813862493012856
1,MRPS25,55726847,0.9813303521520402
1,AC005840.4,55723910,0.9812744550027949
1,PICALM,55718912,0.9812185578535495
1,AC069544.1,55713727,0.9811626607043041
1,CHCHD10,55688381,0.9811067635550587
1,PGM3,55683180,0.9810508664058133
1,RFC3,55661108,0.9809949692565679
1,AL512625.3,55655678,0.9809390721073226
1,PPP1CA,55649333,0.9808831749580771
1,H1FX,55648814,0.9808272778088317
1,ACTN1,55647139,0.9807713806595864
1,GRHPR,55635290,0.980715483510341
1,RNF125,55611335,0.9806595863610956
1,RPUSD3,55605155,0.9806036892118501
1,EAF2,55602807,0.9805477920626048
1,CTSC,55599253,0.9804918949133594
1,CDCA4,55575231,0.980435997764114
1,ATP5PO,55573552,0.9803801006148687
1,TIAL1,55568097,0.9803242034656232
1,TUBB4A,55563341,0.9802683063163778
1,TMED4,55556888,0.9802124091671325
1,SLC35F5,55552265,0.9801565120178871
1,MIPEP,55552035,0.9801006148686418
1,RBBP6,55539333,0.9800447177193963
1,SNRNP70,55519032,0.9799888205701509
1,BEX3,55501286,0.9799329234209055
1,GSTM4,55490075,0.9798770262716602
1,DVL1,55476627,0.9798211291224147
1,HLA-DRB6,55470521,0.9797652319731693
1,RYBP,55465061,0.979709334823924
1,BAZ1B,55463609,0.9796534376746786
1,MRPL37,55455248,0.9795975405254332
1,ARMC9,55454083,0.9795416433761878
1,SRI,55451320,0.9794857462269424
1,MYC,55446069,0.979429849077697
1,LDHA,55443722,0.9793739519284517
1,ZFYVE21,55434709,0.9793180547792063
1,BCR,55434002,0.9792621576299608
1,SLC7A4,55424634,0.9792062604807155
1,HUWE1,55413103,0.9791503633314701
1,MSTO1,55407935,0.9790944661822247
1,MT-ND2,55397926,0.9790385690329794
1,RRM1,55389576,0.9789826718837339
1,CES2,55370903,0.9789267747344885
1,LINC01836,55369838,0.9788708775852432
1,PSMC3,55363080,0.9788149804359978
1,C4orf19,55351051,0.9787590832867524
1,CYC1,55342708,0.978703186137507
1,NUP153,55341981,0.9786472889882616
1,FBRSL1,55335560,0.9785913918390162
1,TPI1P1,55335044,0.9785354946897709
1,WAC,55333118,0.9784795975405254
1,ENO1,55331135,0.97842370039128
1,GNG10,55318691,0.9783678032420347
1,COQ9,55299109,0.9783119060927893
1,AGFG1,55287511,0.9782560089435439
1,CCDC18-AS1,55282571,0.9782001117942984
1,BOP1,55280639,0.9781442146450531
1,TFRC,55280329,0.9780883174958077
1,HNRNPU,55277544,0.9780324203465623
1,TP53I13,55271837,0.977976523197317
1,BEND3P1,55267188,0.9779206260480715
1,NLRP7,55263917,0.9778647288988261
1,B3GNT2,55263762,0.9778088317495808
1,DDX1,55263243,0.9777529346003354
1,GPN3,55227892,0.97769703745109
1,DIMT1,55219803,0.9776411403018446
1,ZFAS1,55218888,0.9775852431525992
1,RABGGTB,55217544,0.9775293460033538
1,SEC13,55217219,0.9774734488541085
1,PDIA6,55168893,0.977417551704863
1,SMIM1,55157755,0.9773616545556176
1,MED1,55156707,0.9773057574063723
1,IFITM2,55155973,0.9772498602571269
1,MRPS12,55148627,0.9771939631078815
1,HMGCR,55143242,0.9771380659586361
1,NDUFV3,55127854,0.9770821688093907
1,FH,55119407,0.9770262716601453
1,MRPL16,55119196,0.9769703745109
1,TUBG1,55119018,0.9769144773616546
1,SENP5,55101441,0.9768585802124091
1,MRPL14,55100353,0.9768026830631638
1,LINC00667,55099865,0.9767467859139184
1,SLC25A33,55098694,0.976690888764673
1,NSUN2,55094857,0.9766349916154277
1,GAS5,55086508,0.9765790944661822
1,TEAD1,55070211,0.9765231973169368
1,MTAP,55069797,0.9764673001676915
1,AP003392.4,55062853,0.9764114030184461
1,COPB2,55049671,0.9763555058692007
1,ALAD,55035760,0.9762996087199552
1,BAZ1A,55030934,0.9762437115707099
1,PSME4,55022510,0.9761878144214645
1,CRK,55012853,0.9761319172722192
1,CDIPT,55012760,0.9760760201229737
1,TMEM43,55007042,0.9760201229737283
1,PTPRF,54997044,0.975964225824483
1,CYBRD1,54986420,0.9759083286752376
1,HTATIP2,54979950,0.9758524315259922
1,C1orf43,54976050,0.9757965343767467
1,INTS4,54966676,0.9757406372275014
1,PLEKHJ1,54966247,0.975684740078256
1,BOLA1,54965134,0.9756288429290106
1,ETFA,54953333,0.9755729457797653
1,ACAA1,54942457,0.9755170486305198
1,RRAS2,54931705,0.9754611514812744
1,EIF5A,54926322,0.9754052543320291
1,GATB,54913924,0.9753493571827837
1,LDOC1,54912609,0.9752934600335383
1,TBL3,54904828,0.9752375628842929
1,PAIP2B,54885137,0.9751816657350475
1,WDR55,54876122,0.9751257685858021
1,SGK1,54874329,0.9750698714365568
1,COPS6,54873495,0.9750139742873114
1,RACGAP1,54832717,0.9749580771380659
1,TMEM131,54820051,0.9749021799888206
1,PSMD12,54806870,0.9748462828395752
1,DEPP1,54801349,0.9747903856903298
1,EIF3L,54782701,0.9747344885410844
1,NME1,54778705,0.974678591391839
1,ECEL1P2,54773367,0.9746226942425936
1,PTMAP5,54772003,0.9745667970933483
1,PPCS,54759248,0.9745108999441029
1,LMNB1,54755291,0.9744550027948574
1,RDM1,54753804,0.974399105645612
1,MYLIP,54750291,0.9743432084963667
1,ZBTB7A,54745918,0.9742873113471213
1,RNF187,54736273,0.974231414197876
1,UBR5,54735840,0.9741755170486305
1,LHFPL6,54728907,0.9741196198993851
1,C16orf74,54722266,0.9740637227501397
1,PPP4R3A,54715336,0.9740078256008944
1,AIMP2,54711836,0.973951928451649
1,FAM120A,54708967,0.9738960313024035
1,CACYBPP2,54703694,0.9738401341531582
1,PPP2R5A,54694006,0.9737842370039128
1,TSR1,54692256,0.9737283398546674
1,PRPS2,54687471,0.973672442705422
1,PMPCA,54675339,0.9736165455561766
1,CCDC47,54665987,0.9735606484069312
1,C11orf88,54662228,0.9735047512576859
1,PNMA1,54644542,0.9734488541084405
1,PYGL,54625786,0.973392956959195
1,BCL9L,54620242,0.9733370598099497
1,ATP13A3,54615375,0.9732811626607043
1,HDDC2,54596530,0.9732252655114589
1,PRDX3,54573568,0.9731693683622136
1,IL6,54571508,0.9731134712129681
1,CACYBP,54568567,0.9730575740637227
1,VRK1,54568388,0.9730016769144774
1,RMDN1,54559271,0.972945779765232
1,KMT2B,54558939,0.9728898826159866
1,SCRIB,54550168,0.9728339854667412
1,PSMD7P1,54549023,0.9727780883174958
1,ATP5MC3,54548412,0.9727221911682504
1,FAN1,54545240,0.9726662940190051
1,PPOX,54537277,0.9726103968697597
1,SLC27A4,54537208,0.9725544997205142
1,NDUFS8,54526815,0.9724986025712689
1,CDCA5,54518298,0.9724427054220235
1,MROH6,54518055,0.9723868082727781
1,MDK,54516664,0.9723309111235326
1,EIF2B3,54505860,0.9722750139742873
1,CA2,54502018,0.9722191168250419
1,TRIP12,54497240,0.9721632196757966
1,PSMB5,54491921,0.9721073225265512
1,FOXP4,54478869,0.9720514253773057
1,HNRNPD,54465469,0.9719955282280603
1,ABCB6,54461872,0.971939631078815
1,NCOA4,54455831,0.9718837339295696
1,DPH1,54454461,0.9718278367803243
1,DPP3,54450627,0.9717719396310788
1,MPG,54438743,0.9717160424818334
1,MARCKSL1,54432864,0.971660145332588
1,PRELID1,54429855,0.9716042481833427
1,NAP1L1,54424931,0.9715483510340973
1,DYNLT1,54423021,0.9714924538848518
1,ZNF483,54409089,0.9714365567356065
1,LINC00668,54401571,0.9713806595863611
1,RPL10P16,54387973,0.9713247624371157
1,TPM3,54363440,0.9712688652878703
1,DUS1L,54361884,0.9712129681386249
1,TEKT2,54361159,0.9711570709893795
1,SLC15A2,54357901,0.9711011738401342
1,ZFP64,54357150,0.9710452766908888
1,AL445242.1,54353414,0.9709893795416433
1,FOLR1,54336811,0.970933482392398
1,DIAPH1,54262467,0.9708775852431526
1,CPNE1,54262262,0.9708216880939072
1,WDR34,54260993,0.9707657909446619
1,AC098614.3,54250814,0.9707098937954164
1,SUCLA2,54245638,0.970653996646171
1,HARS,54235048,0.9705980994969257
1,KPNB1,54218462,0.9705422023476803
1,DNMT3L,54211564,0.9704863051984349
1,PIGP,54208160,0.9704304080491895
1,ARL2BP,54206138,0.9703745108999441
1,RAD51B,54195626,0.9703186137506987
1,PDLIM1,54192209,0.9702627166014534
1,NOC2L,54191362,0.970206819452208
1,RBM38,54185645,0.9701509223029625
1,CERS4,54160894,0.9700950251537171
1,KIFC1,54157623,0.9700391280044718
1,KCTD11,54153832,0.9699832308552264
1,WDR61,54153624,0.9699273337059809
1,MAEA,54146654,0.9698714365567356
1,C16orf72,54143379,0.9698155394074902
1,CLIC3,54141088,0.9697596422582448
1,DLST,54125274,0.9697037451089995
1,AC096746.1,54121324,0.969647847959754
1,FOXK2,54117248,0.9695919508105086
1,PSPC1,54113794,0.9695360536612633
