"target","mean_log2rfu_Second_Control","mean_log2rfu_Second_PPROM","mean_log2rfu_Second_sPTD","mean_log2rfu_Third_Control","mean_log2rfu_Third_PPROM","mean_log2rfu_Third_sPTD","median_log2rfu_Second_Control","median_log2rfu_Second_PPROM","median_log2rfu_Second_sPTD","median_log2rfu_Third_Control","median_log2rfu_Third_PPROM","median_log2rfu_Third_sPTD","sd_log2rfu_Second_Control","sd_log2rfu_Second_PPROM","sd_log2rfu_Second_sPTD","sd_log2rfu_Third_Control","sd_log2rfu_Third_PPROM","sd_log2rfu_Third_sPTD","se_log2rfu_Second_Control","se_log2rfu_Second_PPROM","se_log2rfu_Second_sPTD","se_log2rfu_Third_Control","se_log2rfu_Third_PPROM","se_log2rfu_Third_sPTD","iqr_25_Second_Control","iqr_25_Second_PPROM","iqr_25_Second_sPTD","iqr_25_Third_Control","iqr_25_Third_PPROM","iqr_25_Third_sPTD","iqr_75_Second_Control","iqr_75_Second_PPROM","iqr_75_Second_sPTD","iqr_75_Third_Control","iqr_75_Third_PPROM","iqr_75_Third_sPTD"
"PSA2",1.01652620675735,1.01451016537547,1.01948856765635,1.01741667766516,1.01475126473896,1.01911382172332,1.01506941000739,1.01413857077883,1.01906716810965,1.01589790569482,1.01323778594929,1.01843073161341,0.0076882607533702,0.00111846586277049,0.00417809570506847,0.00668068491961306,0.00389614753703841,0.00342147490231189,0.000439508613803223,0.000559232931385247,0.000530618685162647,0.000414318490439167,0.0019480737685192,0.000434527747121575,1.01199504321338,1.01377950919277,1.01693586758605,1.0134633437625,1.01268159919212,1.01682102392824,1.01869695255529,1.01486922696154,1.02131461960523,1.020106414516,1.01530745149613,1.02040676470897
"PSA6",1.01739346987962,1.01667055335722,1.02247712514028,1.01682578411952,1.02125022100921,1.0277783961819,1.01753159953839,1.01657966723987,1.02226155568035,1.01660067343235,1.02260016685473,1.02674279247628,0.00481888763088099,0.00361049554529569,0.00344622041387859,0.00465401598043751,0.00523994792902774,0.00494526506563619,0.000275477470218942,0.00180524777264785,0.00043767043023323,0.000288629818453751,0.00261997396451387,0.000628049291385401,1.01414817506041,1.01368177081816,1.02004278368142,1.01397509874037,1.01954972353239,1.02472824031761,1.01971194044977,1.01956844977892,1.02433667055558,1.01925398790281,1.02430066433155,1.03124314495422
"PSD7",1.00068078168513,0.982473932879508,1.0054140196403,0.996667548709479,0.988457578632955,1.00173271085743,1.00045033696457,0.982558368074878,1.00502486204734,0.996237782821922,0.988805091571882,1.00135346424601,0.00441851674221522,0.000345114357927367,0.00229638751219981,0.00400966734077858,0.00177749468479999,0.00230137035989053,0.000252589789906133,0.000172557178963684,0.000291641505691028,0.000248669012202244,0.000888747342399993,0.000292274327980572,0.997807420595857,0.982302081890847,1.00409373148205,0.9945183726001,0.98791656503932,1.00058681950437,1.00276569958464,0.982730219063539,1.00614359144057,0.998600028015768,0.989346105165517,1.0023452586109
"PSMA",1.18780169798165,1.20066724658365,1.1895554202327,1.21206097792169,1.2093960850367,1.19503094688094,1.18071752200487,1.20191316958831,1.18892003998963,1.20408251803909,1.20906055220581,1.19474565091095,0.0320471977070711,0.00578207378746012,0.00769085929503369,0.033504218400757,0.00652304236080634,0.0088486257712043,0.00183201635484832,0.00289103689373006,0.000976740107209874,0.00207784341847838,0.00326152118040317,0.0011237765967201,1.16944610272752,1.19764348104229,1.18511589155705,1.19277109005097,1.2062691032672,1.19001056727022,1.19301699064976,1.20493693512967,1.19371954000059,1.21587507795904,1.21218753397532,1.20036212305874
"PSME1",1.0239548374275,1.0317641300915,1.02802089202141,1.02111729281884,1.03725907277138,1.04066506703256,1.02353397272338,1.03237025588739,1.02763287384326,1.02047908373897,1.03741049751714,1.03999044974578,0.00642238855810895,0.00227845650660853,0.00374660665542545,0.00681632120833044,0.00175688264976914,0.00503296758777339,0.000367143516983707,0.00113922825330426,0.000475819521058792,0.00042273029597503,0.000878441324884572,0.000639187522835063,1.01983907529859,1.03095468536102,1.02558464376245,1.01676494306971,1.03605847560614,1.03777729940315,1.02781633030622,1.03317970061787,1.03025909047737,1.02496164243673,1.03861109468238,1.04189904955991
"PSME3",1.01080146312917,0.989480406622355,1.00936357702134,1.01153122346481,1.00379550952103,1.00805986545632,1.01002532057246,0.988931949983906,1.00799965722437,1.01074205015121,1.00267375658068,1.00714780272503,0.00496990187928539,0.00209101536364327,0.00434447127627548,0.0047072646923066,0.00261511851623587,0.00476013052263461,0.00028411038019818,0.00104550768182164,0.000551748403835666,0.000291932163375701,0.00130755925811794,0.000604537180912079,1.00771920700429,0.98817686894069,1.00669423467393,1.00867725633333,1.00243599515583,1.00465232821911,1.01284474854591,0.990235487665571,1.01094335091251,1.01332522142802,1.00403327094588,1.00931212072078
"PTH",1.00672690209671,0.990774350753414,0.988780593296091,0.996985807147295,0.968130301377428,0.97733849103853,1.00340752766733,0.990012765021756,0.988075868291379,0.994402071873044,0.967844338492599,0.976650996304654,0.0167812785386057,0.00274606942360571,0.00245173935485329,0.0142498096767853,0.00096140415532136,0.00223973332299709,0.000959321842084411,0.00137303471180286,0.000311371209437732,0.000883735680603402,0.00048070207766068,0.000284446416467189,0.998980314892717,0.989038433423934,0.987112187408674,0.990720409010282,0.967653164400587,0.976053855547643,1.01008961067566,0.991748682351236,0.990209078277189,0.9998090827602,0.968321475469439,0.978068065673492
"PTHrP",1.0122311289405,1.01185242553333,0.986104821514872,1.01225849302614,1.01996151993788,0.989329226439356,1.01112443833732,1.01070848358948,0.986152704157085,1.01166197801323,1.01965060409435,0.988699563738586,0.00703690558731021,0.00573043982080022,0.00350192209471225,0.00522517204103698,0.00296869225660196,0.00390567546554364,0.000402273117335039,0.00286521991040011,0.000444744550773229,0.000324051413646487,0.00148434612830098,0.000496021280145571,1.00831536379686,1.00896661348908,0.984263349927432,1.00919674361201,1.01856186040875,0.986894877391707,1.01435927692581,1.01359429563373,0.987815822352668,1.01401340186904,1.02105026362348,0.991291173659211
"PTK6",1.06491153155354,1.0864324760744,1.05992818092778,1.07660718408646,1.04030949929592,1.06624824787984,1.06278851832038,1.08333273535854,1.05871945942803,1.074705121343,1.03838237430137,1.06345238690068,0.00992926626558761,0.0123551620817828,0.00898345087108244,0.0102793070090772,0.0149558876306499,0.0119725541817572,0.000567618372017172,0.00617758104089139,0.00114089940152744,0.00063749555831594,0.00747794381532497,0.00152051590159983,1.05857926692586,1.0790306833382,1.05396523609051,1.07006942959021,1.02899278977497,1.05737533382736,1.06865000141772,1.09073452809474,1.06251288518591,1.08112505014806,1.04969908382232,1.07173404880941
"PTN",0.948270880084731,0.934416219552611,0.940880915829762,0.941723038553836,0.931347840943539,0.932425320345058,0.94795605655362,0.934270026370481,0.940819557856209,0.941467571835267,0.930941257510004,0.932373906109433,0.00292709351478312,0.00106450867187793,0.000976106987500802,0.00343725912899545,0.00137068436505292,0.00128845926872171,0.000167330798788373,0.000532254335938963,0.000123965711378375,0.000213169761889642,0.000685342182526461,0.00016363449076223,0.946187872590657,0.933933692912507,0.940089445261945,0.939217913256654,0.930344353571424,0.931487050367457,0.950303984345045,0.934752553010586,0.941423721542993,0.944301972424177,0.93194474488212,0.932898621577422
"PTP-1B",1.02864843458304,1.00983569204555,1.02380511989637,1.0275386111951,1.04589207234938,1.03950531520271,1.02756822352672,1.00950105572357,1.02310835409537,1.02615982329227,1.0455806181677,1.03875796468418,0.0101197610607075,0.00184742371852011,0.00373045935419566,0.0108725842250577,0.00320018584690555,0.0026219825070396,0.00057850823463053,0.000923711859260056,0.000473768811751898,0.000674289049326923,0.00160009292345278,0.000332992111386307,1.0237229034387,1.00886161154377,1.02195628606367,1.02254096439654,1.04381063228564,1.03787481526203,1.03108777005036,1.01047513622535,1.02420102323991,1.02908390338773,1.04766205823144,1.04130107573812
"PTP-1C",0.995950468802554,1.02173668604037,1.01814107391338,0.996328875985291,1.02448399288568,1.01557124973775,0.99617597091271,1.02098743530904,1.01867522633754,0.996170391326259,1.02473737044366,1.01597509848578,0.0103441734179447,0.00240609959407882,0.00384990077859132,0.0110437298535963,0.00512793113688835,0.00442843051750848,0.00059133703521542,0.00120304979703941,0.00048893788781923,0.000684903050632868,0.00256396556844418,0.000562411238135097,0.990525849740939,1.02041429381638,1.01613489720536,0.990253833083065,1.02096696647246,1.01324448453729,1.00102874845067,1.02230982753304,1.02045265768564,1.00374339392925,1.02825439685687,1.01808708855109
"PUR8",1.00785840243066,0.990745245967645,0.987664988116009,1.00034727804078,0.993446104103342,1.02563538482195,1.00734840859335,0.991152202267637,0.986051676673906,1.00011213913817,0.991874346521156,1.0254576415802,0.00932952428274477,0.00270868179810698,0.00479620681214516,0.00893672709932914,0.00400394024712,0.00555038392190482,0.000533333404847803,0.00135434089905349,0.000609118874261614,0.000554232286930738,0.00200197012356,0.000704899462981728,1.00282044264471,0.989156237019921,0.984267259108122,0.99526755363252,0.990851676438152,1.02213989862505,1.0121600481064,0.992741211215361,0.991274788764226,1.00479041176259,0.994468774186347,1.02955464142247
"PYY",1.01064360412265,1.01424474150954,0.994686772702837,1.0143116682576,0.988928696971709,1.00321489545386,1.010711534485,1.01410149760067,0.994688576529629,1.01385696105812,0.988961086583378,1.00321914393914,0.00863343790103854,0.00588798191979849,0.00463515997681261,0.00866339651971243,0.00596122967687705,0.00452503833101853,0.000493540794981273,0.00294399095989924,0.000588665905721402,0.000537281043981802,0.00298061483843853,0.000574680442720083,1.00439111041593,1.0111209343655,0.991218081912711,1.00845635591254,0.984570691129722,1.00025751894528,1.01688135698134,1.0172253047447,0.997810285795186,1.01897625951865,0.993319092425365,1.00620014721508
"Parathyroid Hormone1-34",0.998804052021096,0.997926680642262,0.997842274771461,0.9899549584632,0.988881650588294,0.98895749294262,0.997709182308688,0.997926703615896,0.997821309207144,0.989316395171993,0.988865091334968,0.988953028409803,0.00731523465111711,4.46385291156332e-05,0.000106065318738579,0.0053963646993033,5.38839542206168e-05,0.000114786565841688,0.000418184130884013,2.23192645578166e-05,1.34703089501152e-05,0.000334668331612329,2.69419771103084e-05,1.45779084398101e-05,0.994738236019283,0.997893994792052,0.99778162426373,0.986594660941831,0.988845735137367,0.988881409136455,0.999992886801711,0.997959389466106,0.997883484016164,0.991519444122497,0.988901006785895,0.989002347449335
"Periostin",1.00101472066034,1.0040058520395,1.0046647072469,1.00286694780466,0.989300873621675,0.996621070115238,1.00071210207076,1.00426903192686,1.00459771277473,1.00236962882263,0.989230056095099,0.996516699990667,0.00591162316047155,0.00182516764390886,0.0027368209889741,0.0054377152238567,0.000609742414241225,0.00288991230111658,0.000337945002638853,0.00091258382195443,0.000347576613176497,0.000337232782281382,0.000304871207120613,0.000367019229261218,0.99695842139362,1.00289034729177,1.00280632260342,0.999509499800766,0.988980357072395,0.994793472951231,1.00462280581825,1.00538453667458,1.00619543129529,1.00575357198883,0.989550572644378,0.997968451700697
"Peroxiredoxin-1",0.960429624185499,0.953273530761203,0.960515475388649,0.953888474993802,0.9487220982576,0.963144138227949,0.960331970256662,0.952581186872203,0.960444591305904,0.953850335042693,0.949000002696569,0.963097130703057,0.00390602814737742,0.00181578687396456,0.00181587221292721,0.00409621019347343,0.00193215793505771,0.00236334498424235,0.000223292766934014,0.000907893436982281,0.000230616001657873,0.000254036172084544,0.000966078967528857,0.000300145113144042,0.958124275150755,0.952054685894055,0.959062703616235,0.951516313496421,0.948082923043282,0.961820091697279,0.96307878125565,0.953800031739352,0.961586714421888,0.956399965649839,0.949639177910887,0.964120547702952
"Peroxiredoxin-5",1.02518714470742,1.01828731576103,1.01849645040119,1.02739933864208,1.01949446565717,1.02376823100649,1.02412448031356,1.0180685430092,1.01805780804745,1.02605271636896,1.01904555876199,1.02320347517004,0.00670628443563158,0.000709290520196654,0.00297035429109342,0.00620414406572924,0.0014182520937111,0.00384347366241893,0.000383372764091348,0.000354645260098327,0.000377235372204425,0.000384764681272969,0.000709126046855548,0.000488121643249091,1.02187803335934,1.01777700549643,1.01685586820906,1.0244878796668,1.01885068524463,1.02191714868439,1.02662166210242,1.01857885327381,1.01964741324839,1.02871771355128,1.01968933917452,1.02491142708177
